"phecode"	"description"	"sex"	"rollup"	"leaf"	"groupnum"	"group"	"color"	"phecode_exclude_range"	"phecode_exclude_phenotypes"
"008"	"Intestinal infection"	"Both"	"1"	"0"	"1"	"infectious diseases"	"blue"	"001-009.99"	" Intestinal infection"
"008.5"	"Bacterial enteritis"	"Both"	"1"	"0"	"1"	"infectious diseases"	"blue"	"001-009.99"	" Intestinal infection"
"008.51"	"Intestinal e.coli"	"Both"	"1"	"1"	"1"	"infectious diseases"	"blue"	"001-009.99"	" Intestinal infection"
"008.52"	"Intestinal infection due to C. difficile"	"Both"	"1"	"1"	"1"	"infectious diseases"	"blue"	"001-009.99"	" Intestinal infection"
"008.6"	"Viral Enteritis"	"Both"	"1"	"1"	"1"	"infectious diseases"	"blue"	"001-009.99"	" Intestinal infection"
"008.7"	"Intestinal infection due to protozoa"	"Both"	"1"	"1"	"1"	"infectious diseases"	"blue"	"001-009.99"	" Intestinal infection"
"010"	"Tuberculosis"	"Both"	"1"	"1"	"1"	"infectious diseases"	"blue"	"010-041.99"	" bacterial infection"
"031"	"Diseases due to other mycobacteria"	"Both"	"1"	"0"	"1"	"infectious diseases"	"blue"	"010-041.99"	" bacterial infection"
"031.1"	"Leprosy"	"Both"	"1"	"1"	"1"	"infectious diseases"	"blue"	"010-041.99"	" bacterial infection"
"038"	"Septicemia"	"Both"	"1"	"0"	"1"	"infectious diseases"	"blue"	"010-041.99"	" bacterial infection"
"038.1"	"Gram negative septicemia"	"Both"	"1"	"1"	"1"	"infectious diseases"	"blue"	"010-041.99"	" bacterial infection"
"038.2"	"Gram positive septicemia"	"Both"	"1"	"1"	"1"	"infectious diseases"	"blue"	"010-041.99"	" bacterial infection"
"038.3"	"Bacteremia"	"Both"	"1"	"1"	"1"	"infectious diseases"	"blue"	"010-041.99"	" bacterial infection"
"041"	"Bacterial infection NOS"	"Both"	"1"	"0"	"1"	"infectious diseases"	"blue"	"010-041.99"	" bacterial infection"
"041.1"	"Staphylococcus infections"	"Both"	"1"	"0"	"1"	"infectious diseases"	"blue"	"010-041.99"	" bacterial infection"
"041.11"	"Methicillin sensitive Staphylococcus aureus"	"Both"	"1"	"1"	"1"	"infectious diseases"	"blue"	"010-041.99"	" bacterial infection"
"041.12"	"Methicillin resistant Staphylococcus aureus"	"Both"	"1"	"1"	"1"	"infectious diseases"	"blue"	"010-041.99"	" bacterial infection"
"041.2"	"Streptococcus infection"	"Both"	"1"	"0"	"1"	"infectious diseases"	"blue"	"010-041.99"	" bacterial infection"
"041.21"	"Rheumatic fever / chorea"	"Both"	"1"	"1"	"1"	"infectious diseases"	"blue"	"010-041.99"	" bacterial infection"
"041.4"	"E. coli"	"Both"	"1"	"1"	"1"	"infectious diseases"	"blue"	"010-041.99"	" bacterial infection"
