"ICD9"	"meaning"	"node_id"	"parent_id"	"selectable"	"phecode"	"description"	"group"	"groupnum"	"added"	"sex"	"rollup"	"leaf"
"001"	"001 Cholera"	189	20	"N"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"001.0"	"0010 Cholera due to vibrio cholerae"	190	189	"Y"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"001.1"	"0011 Cholera due to vibrio cholerae el tor"	191	189	"Y"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"001.9"	"0019 Cholera - unspecified"	192	189	"Y"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"002"	"002 Typhoid and paratyphoid fevers"	193	20	"N"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"002.0"	"0020 Typhoid fever"	194	193	"Y"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"002.1"	"0021 Paratyphoid fever a"	195	193	"Y"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"002.2"	"0022 Paratyphoid fever b"	196	193	"Y"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"002.3"	"0023 Paratyphoid fever c"	197	193	"Y"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"002.9"	"0029 Paratyphoid fever - unspecified"	198	193	"Y"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"003"	"003 Other salmonella infections"	199	20	"N"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"rolled up PheWAS code"	"Both"	"1"	"0"
"003.0"	"0030 Salmonella gastroenteritis"	200	199	"Y"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"rolled up PheWAS code"	"Both"	"1"	"0"
"003.1"	"0031 Salmonella septicaemia"	201	199	"Y"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"rolled up PheWAS code"	"Both"	"1"	"0"
"003.2"	"0032 Localized salmonella infections"	202	199	"Y"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"rolled up PheWAS code"	"Both"	"1"	"0"
"003.8"	"0038 Other specified salmonella infection"	203	199	"Y"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"rolled up PheWAS code"	"Both"	"1"	"0"
"003.9"	"0039 Salmonella infection - unspecified"	204	199	"Y"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"rolled up PheWAS code"	"Both"	"1"	"0"
"004"	"004 Shigellosis"	205	20	"N"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"rolled up PheWAS code"	"Both"	"1"	"0"
"004.0"	"0040 Shigella dysenteriae"	206	205	"Y"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"rolled up PheWAS code"	"Both"	"1"	"0"
"004.1"	"0041 Shigella flexneri"	207	205	"Y"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"rolled up PheWAS code"	"Both"	"1"	"0"
"004.2"	"0042 Shigella boydii"	208	205	"Y"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"rolled up PheWAS code"	"Both"	"1"	"0"
"004.3"	"0043 Shigella sonnei"	209	205	"Y"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"rolled up PheWAS code"	"Both"	"1"	"0"
"004.8"	"0048 Other shigellosis"	210	205	"Y"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"rolled up PheWAS code"	"Both"	"1"	"0"
"004.9"	"0049 Shigellosis - unspecified"	211	205	"Y"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"rolled up PheWAS code"	"Both"	"1"	"0"
"005"	"005 Other food poisoning (bacterial)"	212	20	"N"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"rolled up PheWAS code"	"Both"	"1"	"0"
"005.0"	"0050 Staphylococcal food poisoning"	213	212	"Y"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"rolled up PheWAS code"	"Both"	"1"	"0"
"005.1"	"0051 Botulism"	214	212	"Y"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"rolled up PheWAS code"	"Both"	"1"	"0"
"005.2"	"0052 Food poisoning due to clostridium perfringens (cl. welchii)"	215	212	"Y"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"rolled up PheWAS code"	"Both"	"1"	"0"
"005.3"	"0053 Food poisoning due to other clostridia"	216	212	"Y"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"rolled up PheWAS code"	"Both"	"1"	"0"
"005.4"	"0054 Food poisoning due to vibrio parahaemolyticus"	217	212	"Y"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"rolled up PheWAS code"	"Both"	"1"	"0"
"005.8"	"0058 Other bacterial food poisoning"	218	212	"Y"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"rolled up PheWAS code"	"Both"	"1"	"0"
"005.9"	"0059 Food poisoning - unspecified"	219	212	"Y"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"006"	"006 Amoebiasis"	220	20	"N"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"006.0"	"0060 Acute amoebic dysentery without mention of abscess"	221	220	"Y"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"006.1"	"0061 Chronic intestinal amoebiasis without mention of abscess"	222	220	"Y"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"006.2"	"0062 Amoebic nondysenteric colitis"	223	220	"Y"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"006.3"	"0063 Amoebic liver abscess"	224	220	"Y"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"006.4"	"0064 Amoebic lung abscess"	225	220	"Y"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"006.5"	"0065 Amoebic brain abscess"	226	220	"Y"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"006.6"	"0066 Amoebic skin ulceration"	227	220	"Y"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"006.8"	"0068 Amoebic infection of other sites"	228	220	"Y"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"006.9"	"0069 Amoebiasis - unspecified"	229	220	"Y"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"007"	"007 Other protozoal intestinal diseases"	230	20	"N"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"007.0"	"0070 Balantidiasis"	231	230	"Y"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"007.1"	"0071 Giardiasis"	232	230	"Y"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"007.2"	"0072 Coccidiosis"	233	230	"Y"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"007.3"	"0073 Intestinal trichomoniasis"	234	230	"Y"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"007.8"	"0078 Other protozoal intestinal diseases"	235	230	"Y"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"007.9"	"0079 Protozoal intestinal disease - unspecified"	236	230	"Y"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
"008"	"008 Intestinal infections due to other organisms"	237	20	"N"	"008"	"Intestinal infection"	"infectious diseases"	"1"	"original"	"Both"	"1"	"0"
