ZOOMA QUERY	MAPPED_TERM_LABEL	MAPPED_TERM_URI	MAPPING_TYPE	ICD10_CODE/SELF_REPORTED_TRAIT_FIELD_CODE	COMMENTS/TICKET	AI
Vascular disorders of intestine	vascular disease	EFO_0004264, EFO_0009431	Broad	K55	DONE	
Gonarthrosis	osteoarthritis || knee	EFO_0004616	Broad	M17	DONE	
Psoriatic and enteropathic arthropathies	psoriatic arthritis	EFO_0003778	? Broad	M07	DONE	
Pain associated with micturition	dysuria	EFO_0003901	? Broad	R30	DONE	
Other mood	mood disorder	EFO_0004247	? Broad	F38	DONE	
Preterm delivery	premature birth	EFO_0003917	? Exact	O60	DONE	
Injury of nerves at forearm level	carpal tunnel syndrome	EFO_0004143	? Narrow	S54	DONE	
Injury of nerves at wrist and hand level	carpal tunnel syndrome	EFO_0004143	? Narrow	S64	DONE	
Gastritis and duodenitis	gastritis	EFO_0000217	Broad	K29	DONE	
Problems related to physical environment	exposure	EFO_0000487	Broad	Z58	DONE	
Pre existing hypertension complicating pregnancy childbirth and the puerperium	hypertension	EFO_0000537	Broad	O10	DONE	
Pre existing hypertensive disorder with superimposed proteinuria	hypertension	EFO_0000537	Broad	O11	DONE	
Injury of blood vessels at wrist and hand level	injury	EFO_0000546	Broad	S65	DONE	
Superficial injuries involving multiple body regions	injury	EFO_0000546	Broad	T00	DONE	
Open wounds involving multiple body regions	injury	EFO_0000546	Broad	T01	DONE	
Other injuries involving multiple body regions	injury	EFO_0000546	Broad	T06	DONE	
Effects of air pressure and water pressure	injury	EFO_0000546	Broad	T70	DONE	
Sequelae of injuries of neck and trunk	injury	EFO_0000546	Broad	T91	DONE	
Sequelae of injuries involving multiple and unspecified body regions	injury	EFO_0000546	Broad	T94	DONE	
Sequelae of other effects of external causes	injury	EFO_0000546, EFO_0008546	Broad	T98	DONE	
Other injuries of spine and trunk level unspecified	Injury	EFO_0000546	Broad	T09	DONE	
Personal history of malignant neoplasm	neoplasm' (covers benign + malignant; otherwise create/import 'malignant neoplasm')	EFO_0000616	Broad	Z85	DONE	
Seropositive rheumatoid arthritis	rheumatoid arthritis	EFO_0000685	Broad	M05	DONE	
Hypertrophic disorders of skin	skin disease	EFO_0000701	Broad	L91	DONE	
Other infestations	parasitic infection	EFO_0001067	Broad	B88	DONE	
Fibrosis and cirrhosis of liver	cirrhosis of liver	EFO_0001422	Broad	K74	DONE	
Polyarthrosis	osteoarthritis	EFO_0002506	Broad	M15	DONE	
Supervision of normal pregnancy	pregnancy'	EFO_0002950	Broad	Z34	DONE	
Unspecified contracted kidney	kidney disease	EFO_0003086	Broad	N26	DONE	
Infections of genitourinary tract in pregnancy	urinary tract infection	EFO_0003103	Broad	O23	DONE	
Sequelae of cerebrovascular disease	cerebrovascular disorder	EFO_0003763	Broad	I69	DONE	
Other acute ischaemic heart diseases	heart disease	EFO_0003777	Broad	I24	DONE	
Complications and ill defined descriptions of heart disease	heart disease	EFO_0003777	Broad	I51	DONE	
Osteoporosis in diseases classified elsewhere	osteoporosis	EFO_0003882	Broad	M82	DONE	
Mental and behavioural disorders due to use of sedatives or hypnotics	drug dependence	EFO_0003890	Broad	F13	DONE	
Mental and behavioural disorders due to use of hallucinogens	drug dependence	EFO_0003890	Broad	F16	DONE	
Mental and behavioural disorders due to use of volatile solvents	drug dependence	EFO_0003890	Broad	F18	DONE	
Fracture of lumbar spine and pelvis	spinal fracture	EFO_0003902	Broad	S32	DONE	
Hereditary and idiopathic neuropathy	neuropathy	EFO_0004149	Broad	G60	DONE	
Osteopathies in diseases classified elsewhere	bone disease	EFO_0004260	Broad	M90	DONE	
Other extrapyramidal and movement disorders	movement disorder	EFO_0004280	Broad	G25	DONE	
Other congenital musculoskeletal deformities	bone development disease	EFO_0005541	Broad	Q68	DONE	
Carrier of infectious disease	infectious disease'	EFO_0005741	Broad	Z22	DONE	
Premature rupture of membranes	spontaneous preterm birth	EFO_0006917	Broad	O42	DONE	
Anogenital herpesviral infection	genital herpes	EFO_0007282	Broad	A60	DONE	
Postinfective and reactive arthropathies in diseases classified elsewhere	reactive arthritis	EFO_0007460	Broad	M03	DONE	
Early syphilis	syphilis	EFO_0007504	Broad	A51	DONE	
Sequelae of toxic effects of substances chiefly nonmedicinal as to source	poisoning	EFO_0008546	Broad	T97	DONE	
Subclinical iodine deficiency hypothyroidism	Iodine Deficiency Hypothyroidism	EFO_0008614	Broad	E02	DONE	
Disorders of vitreous body and globe in diseases classified elsewhere	vitreous body disease	EFO_0008624	Broad	H45	DONE	
Polyarteritis nodosa and related conditions	Polyarteritis Nodosa	EFO_0009012	Broad	M30	DONE	
Sequelae of inflammatory diseases of CNS	central nervous system disease	EFO_0009386	Broad	G09	DONE	
Respiratory tuberculosis not confimed	pulmonary tuberculosis	EFO_1000049	Broad	A16	DONE	
Disorders of conjunctiva in diseases classified elsewhere	Conjunctival Disorder	EFO_1000203	Broad	H13	DONE	
Congenital deformities of hip	developmental dysplasia of the hip	EFO_1000648	Broad	Q65	DONE	
Neonatal jaundice from other causes	neonatal jaundice	EFO_1000739	Broad	P59	DONE	
Urethral stricture	bladder neck obstruction	EFO_1000840	Broad	N35	DONE	
Other specific arthropathies	joint disease	EFO_1000999	Broad	M12	DONE	
Conductive and sensorineural hearing loss	sensorineural hearing loss	EFO_1001176	Broad	H90	DONE	
other injuries of shoulder and upper arm	rotator cuff tear	EFO_1001250	Broad	S49	DONE	
Effects of heat and light	Heat Stroke	EFO_1001340	Broad	T67	DONE	
Other disorders of middle ear and mastoid	auditory system disease	EFO_1001455	Broad	H74	DONE	
Atypical virus infections of CNS	central nervous system infection	EFO_1001456	Broad	A81	DONE	
Female genital prolapse	uterine prolapse	EFO_1001864	Broad	N81	DONE	
Dentofacial anomalies	abnormality of the mouth	HP_0000153	Broad	K07	DONE	
Cleft palate with cleft lip	oral cleft	HP_0000202	Broad	Q37	DONE	
Congenital malformations of nose	Abnormality of the nose	HP_0000366	Broad	Q30	DONE	
Disorders of refraction and accommodation	Abnormality of refraction	HP_0000539	Broad	H52	DONE	
Congenital malformations of gallbladder bile ducts and liver	Abnormality of the liver	HP_0001392	Broad	Q44	DONE	
Obstructed labour due to maternal pelvic abnormality	abnormality of the abdomen morphology	HP_0001438	Broad	O65	DONE	
Abnormal findings in specimens from respiratory organs and thorax	Abnormality of the respiratory system	HP_0002086	Broad	R84	DONE	
Congenital malformations of lung	Abnormal lung morphology	HP_0002088	Broad	Q33	DONE	
Other congenital malformations of peripheral vascular system	Abnormality of the vasculature	HP_0002597	Broad	Q27	DONE	
Varicose veins of lower extremities	varicose veins	HP_0002619	Broad	I83	DONE	
Varicose veins of other sites	Varicose veins	HP_0002619	Broad	I86	DONE	
Acute lymphadenitis	lymphadenitis	HP_0002840	Broad	L04	DONE	
Other abnormal findings in urine	abnormality of urine homeostasis	HP_0003110	Broad	R82	DONE	
Unspecified abdominal hernia	hernia of the abdominal wall	HP_0004299	Broad	K46	DONE	
Unspecified viral hepatitis	hepatitis	HP_0012115	Broad	B19	DONE	
Other congenital malformations of digestive system	Abnormality of the digestive system	HP_0025031	Broad	Q45	DONE	
Other congenital malformations of circulatory system	Abnormality of cardiovascular system morphology	HP_0030680	Broad	Q28	DONE	
Other congenital malformations of skin	Malformation syndrome with skin/mucosae involvement	Orphanet_139027	Broad	Q82	DONE	
Pneumoconiosis due to other inorganic dusts	pneumoconiosis	Orphanet_182098	Broad	J63	DONE	
Corns and callosities	hereditary painful callosites	Orphanet_79141	Broad	L84	DONE	
Disorders of lacrimal system and orbit in diseases classified elsewhere	rare lacrimal system disease	Orphanet_98602	Broad	H06	DONE	
Alzheimer s disease	Alzheimer's disease	EFO_0000249	Exact	G30	DONE	
Endocarditis valve unspecified	endocarditis	EFO_0000465	Exact	I38	DONE	
Family history of other conditions	family history	EFO_0000493	Exact	Z84	DONE	
Unspecified maternal hypertension	preeclampsia	EFO_0000668	Exact	O16	DONE	
