locus,alleles,trait_type,phenocode,pheno_sex,coding,modifier,pop,description,Pvalue
X:153764217,"[""C"",""T""]",biomarkers,30600,both_sexes,NA,irnt,meta,Albumin,0.010911
X:153764217,"[""C"",""T""]",biomarkers,30610,both_sexes,NA,irnt,meta,Alkaline phosphatase,0.14468
X:153764217,"[""C"",""T""]",biomarkers,30620,both_sexes,NA,irnt,meta,Alanine aminotransferase,0.43632
X:153764217,"[""C"",""T""]",biomarkers,30630,both_sexes,NA,irnt,meta,Apolipoprotein A,0.12913
X:153764217,"[""C"",""T""]",biomarkers,30640,both_sexes,NA,irnt,meta,Apolipoprotein B,0.83437
X:153764217,"[""C"",""T""]",biomarkers,30670,both_sexes,NA,irnt,meta,Urea,0.23522
X:153764217,"[""C"",""T""]",biomarkers,30680,both_sexes,NA,irnt,meta,Calcium,0.95222
X:153764217,"[""C"",""T""]",biomarkers,30690,both_sexes,NA,irnt,meta,Cholesterol,0.99779
X:153764217,"[""C"",""T""]",biomarkers,30700,both_sexes,NA,irnt,meta,Creatinine,0.20902
X:153764217,"[""C"",""T""]",biomarkers,30710,both_sexes,NA,irnt,meta,C-reactive protein,0.68704
X:153764217,"[""C"",""T""]",biomarkers,30720,both_sexes,NA,irnt,meta,Cystatin C,0.41535
X:153764217,"[""C"",""T""]",biomarkers,30730,both_sexes,NA,irnt,meta,Gamma glutamyltransferase,0.6244
X:153764217,"[""C"",""T""]",biomarkers,30750,both_sexes,NA,irnt,meta,Glycated haemoglobin (HbA1c),3.1264000000000003e-14
X:153764217,"[""C"",""T""]",biomarkers,30760,both_sexes,NA,irnt,meta,HDL cholesterol,0.52513
X:153764217,"[""C"",""T""]",biomarkers,30770,both_sexes,NA,irnt,meta,IGF-1,0.15615
X:153764217,"[""C"",""T""]",biomarkers,30780,both_sexes,NA,irnt,meta,LDL direct,0.90848
X:153764217,"[""C"",""T""]",biomarkers,30810,both_sexes,NA,irnt,meta,Phosphate,0.25008
X:153764217,"[""C"",""T""]",biomarkers,30830,both_sexes,NA,irnt,meta,SHBG,0.15532
X:153764217,"[""C"",""T""]",biomarkers,30860,both_sexes,NA,irnt,meta,Total protein,0.79433
X:153764217,"[""C"",""T""]",biomarkers,30870,both_sexes,NA,irnt,meta,Triglycerides,0.88209
X:153764217,"[""C"",""T""]",biomarkers,30890,both_sexes,NA,irnt,meta,Vitamin D,0.094152
X:153764217,"[""C"",""T""]",categorical,120,both_sexes,1,NA,meta,Birth weight known,0.14378
X:153764217,"[""C"",""T""]",categorical,120,both_sexes,9,NA,meta,Birth weight known,0.11954
X:153764217,"[""C"",""T""]",categorical,1210,both_sexes,1210,NA,meta,Snoring,0.12216
X:153764217,"[""C"",""T""]",categorical,1418,both_sexes,1,NA,meta,Milk type used,0.088281
X:153764217,"[""C"",""T""]",categorical,1428,both_sexes,0,NA,meta,Spread type,0.079788
X:153764217,"[""C"",""T""]",categorical,1428,both_sexes,1,NA,meta,Spread type,0.58817
X:153764217,"[""C"",""T""]",categorical,1448,both_sexes,1,NA,meta,Bread type,0.95116
X:153764217,"[""C"",""T""]",categorical,1468,both_sexes,2,NA,meta,Cereal type,0.59148
X:153764217,"[""C"",""T""]",categorical,1468,both_sexes,4,NA,meta,Cereal type,0.057438
X:153764217,"[""C"",""T""]",categorical,1538,both_sexes,0,NA,meta,Major dietary changes in the last 5 years,0.36877
X:153764217,"[""C"",""T""]",categorical,1538,both_sexes,1,NA,meta,Major dietary changes in the last 5 years,0.44629
X:153764217,"[""C"",""T""]",categorical,1538,both_sexes,2,NA,meta,Major dietary changes in the last 5 years,0.18413
X:153764217,"[""C"",""T""]",categorical,1677,both_sexes,1677,NA,meta,Breastfed as a baby,0.2053
X:153764217,"[""C"",""T""]",categorical,1707,both_sexes,1,NA,meta,Handedness (chirality/laterality),0.60982
X:153764217,"[""C"",""T""]",categorical,1707,both_sexes,2,NA,meta,Handedness (chirality/laterality),0.83536
X:153764217,"[""C"",""T""]",categorical,1747,both_sexes,4,NA,meta,"Hair colour (natural, before greying)",0.091709
X:153764217,"[""C"",""T""]",categorical,1747,both_sexes,5,NA,meta,"Hair colour (natural, before greying)",0.83364
X:153764217,"[""C"",""T""]",categorical,1920,both_sexes,1920,NA,meta,Mood swings,0.31663
X:153764217,"[""C"",""T""]",categorical,1940,both_sexes,1940,NA,meta,Irritability,0.22407
X:153764217,"[""C"",""T""]",categorical,1950,both_sexes,1950,NA,meta,Sensitivity / hurt feelings,0.73889
X:153764217,"[""C"",""T""]",categorical,1970,both_sexes,1970,NA,meta,Nervous feelings,0.49818
X:153764217,"[""C"",""T""]",categorical,1980,both_sexes,1980,NA,meta,Worrier / anxious feelings,0.26091
X:153764217,"[""C"",""T""]",categorical,20002,both_sexes,1065,NA,meta,"Non-cancer illness code, self-reported",0.35597
X:153764217,"[""C"",""T""]",categorical,20002,both_sexes,1111,NA,meta,"Non-cancer illness code, self-reported",0.97434
X:153764217,"[""C"",""T""]",categorical,20002,both_sexes,1226,NA,meta,"Non-cancer illness code, self-reported",0.98175
X:153764217,"[""C"",""T""]",categorical,20002,both_sexes,1286,NA,meta,"Non-cancer illness code, self-reported",0.80774
X:153764217,"[""C"",""T""]",categorical,20002,both_sexes,1474,NA,meta,"Non-cancer illness code, self-reported",0.77978
